ticker,name,listing_date_raw,descriptors_raw,context_raw,source_file,exchange,listing_type,network_chain,hot_wallet_usd,max_premium_pct,result_label,profit_pct,market_cap_usd,deposit_krw,hedge_type,dex_liquidity_usd,withdrawal_open,airdrop_claim_rate,notes_norm,premium_min_pct,premium_max_pct,funding_rate_pct
SOPH,Sophon,24년 5월 27일 상장,"• TGE 상장으로 진행되었으며 예상치 못한 빠른 거래개시가 특징이었다 | • 거래량은 낮은 수준이지만 입금액이 매우 적으면서 펌핑이 발생, 대흥따리",,028_Ch 01. 신규 상장 완전 공략법_Part1 (p1-5).txt,,TGE,,,,대흥따리,,,,,,,,type=TGE; premium=nan%; deposit_krw=nan; profit=nan%,,,
PUMP,Pump.fun,25년 9월 11일 상장,• 물량 무한인 현선갭 없는 오켁스최고 솔라나체인 초고시총 직상장 | • 평소엔 잘 그러지 않던 업비트의 대놓고 빗썸에 대한 완강한 견제상장을 보여준 하루 | • 바로 직전 진행된 HOLO 상장으로 인해 솔라나 체인 입금속도가 느려져 PUMP | • 물량 무한인 현선갭 약한 바이빗최고 베이스체인 중시총 직상장 | • 업비트 상장에 줄줄이 따라오는 빗썸 바이낸스 또한 거래시간을 계속 변경하는,[짚어볼 점] | [25년 하반기 상장복기],029_Ch 01. 신규 상장 완전 공략법_Part10 (p46-50).txt,Upbit,직상장,SOL,,,,,,,spot_futures,,,,ex=Upbit; type=직상장; chain=SOL; premium=nan%; deposit_krw=nan; profit=nan%,,,
AVNT,Avantis,25년 9월 15일 상장,• 물량 무한인 현선갭 약한 바이빗최고 베이스체인 중시총 직상장 | • 업비트 상장에 줄줄이 따라오는 빗썸 바이낸스 또한 거래시간을 계속 변경하는 | • 1분 거래량 100억대 미만으로 매우 낮음. 이후 아반티스 자체 마켓메이킹으로 | • 물량 적은 현선갭 높은 DEX최고 이더체인 중시총 TGE상장 | • 에어드랍 물량이 적으면서 실질유동성이 많지 않았고 입금액이 적은데,[25년 하반기 상장복기],029_Ch 01. 신규 상장 완전 공략법_Part10 (p46-50).txt,Upbit,TGE,ETH,,,,,,,spot_futures,,,,ex=Upbit; type=TGE; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
ZKC,Boundless,25년 9월 15일 상장,• 물량 적은 현선갭 높은 DEX최고 이더체인 중시총 TGE상장 | • 에어드랍 물량이 적으면서 실질유동성이 많지 않았고 입금액이 적은데,[25년 하반기 상장복기],029_Ch 01. 신규 상장 완전 공략법_Part10 (p46-50).txt,,TGE,ETH,,,,,,,spot_futures,,,,type=TGE; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
BARD,Lombard,25년 9월 18일 상장,"• 물량 적다가 무한이 된(바낸출금개시) 현선갭 높은 DEX, 바낸 최고 | • DEX에 유동성이 적당히 유지되면서 입금액이 적잖이 들어왔고 거래량은 | • 물량 무한인 현선갭 있는 DEX 최고 EVM메인넷 고시총 TGE상장 | • DEX 물량이 충분히 많아서 입금액이 많이 들어왔고, 체인속도가 빨라서 후따리",[25년 하반기 상장복기],030_Ch 01. 신규 상장 완전 공략법_Part11 (p51-55).txt,Binance,TGE,,,,,,,,spot_futures,,,,ex=Binance; type=TGE; premium=nan%; deposit_krw=nan; profit=nan%,,,
XPL,Plasma,25년 9월 25일 상장,"• DEX 물량이 충분히 많아서 입금액이 많이 들어왔고, 체인속도가 빨라서 후따리 | • 다만 플라즈마는 이후 모든 거래소에서 펌핑이 일어나면서 높은 상승을 보여주어 | • 물량 적다가 무한이 된(바낸출금개시) 현선갭 높은 DEX, 바낸 최고",[25년 하반기 상장복기],030_Ch 01. 신규 상장 완전 공략법_Part11 (p51-55).txt,Binance,상장,,,,,,,,spot_futures,,,,ex=Binance; type=상장; premium=nan%; deposit_krw=nan; profit=nan%,,,
MIRA,Mira,25년 9월 26일 상장,"• 물량 적다가 무한이 된(바낸출금개시) 현선갭 높은 DEX, 바낸 최고 | • DEX에 유동성은 이전 BARD와 비슷하게 적당히 충분한 수준으로 있었으나",[25년 하반기 상장복기],030_Ch 01. 신규 상장 완전 공략법_Part11 (p51-55).txt,Binance,상장,,,,,,,,spot_futures,,,,ex=Binance; type=상장; premium=nan%; deposit_krw=nan; profit=nan%,,,
LPT,Livepeer,24년 5월 30일 상장,• 옆상장이었으며 과거에도 운전한 기록이 있는 LPT의 또 다시 드라이빙쇼 | • 입금액은 평이하였으나 상장투심이 바닥으로 1분 거래량 100억대가,[25년 하반기 상장복기],039_Ch 01. 신규 상장 완전 공략법_Part2 (p6-10).txt,,상장,,,,,,,,,,,,type=상장; premium=nan%; deposit_krw=nan; profit=nan%,,,
POKT,Pocket Network,24년 5월 30일 상장,"• 또한 숏포지션을 구축했다면 상승분 및 차트 자체에서 쎄함을 느끼고 포지션을 | • 헷징 불가능한 속도가 느린 자체메인넷, 바이빗 최고거래소인 옆상장 | • 따리 결과 자체는 평이하였으나 이후 후펌핑으로 업비트에서 엄청난 운전",[짚어볼 점] | [25년 하반기 상장복기],039_Ch 01. 신규 상장 완전 공략법_Part2 (p6-10).txt,Upbit,상장,,,,,,,,futures_only,,,,ex=Upbit; type=상장; premium=nan%; deposit_krw=nan; profit=nan%,,,
RVN,Ravencoin,25년 6월 5일 상장,"• 당일 직전 상장에서 운전을 보여줬다면 같은 일이 일어날 수 있으리라 생각하고 | • 물량 무한인 바이낸스 최고, 속도 느린 자체메인넷 옆상장 | • 기존물량만으로 상장이 진행되었고 거래량이 여전히 낮은 수준에 그치면서",[25년 하반기 상장복기],039_Ch 01. 신규 상장 완전 공략법_Part2 (p6-10).txt,Binance,상장,,,,,,,,,,,,ex=Binance; type=상장; premium=nan%; deposit_krw=nan; profit=nan%,,,
ALT,Altlayer,25년 6월 16일 상장,• 이를 활용한 현물 마진숏 전략이 유효 (상장투심이 바닥이기에 가능) | • 후따리가 힘든 물량 적은 바이낸스가 최고인 이더체인 옆상장 | • 입금액과 거래량 모두 평이하게 나오면서 무난하게 피뢰침 망따리,[짚어볼 점] | [25년 하반기 상장복기],045_Ch 01. 신규 상장 완전 공략법_Part3 (p11-15).txt,Binance,상장,ETH,,,망따리,,,,futures_only,,,,ex=Binance; type=상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
RAY,Raydium,25년 6월 19일 상장,• 물량 무한의 바이낸스 최고 솔라나체인 옆상장 | • 따리 난이도가 매우 낮아 입금액이 많이 들어왔고 그에 반해 거래량은,[짚어볼 점] | [25년 하반기 상장복기],045_Ch 01. 신규 상장 완전 공략법_Part3 (p11-15).txt,Binance,상장,SOL,,,,,,,,,,,ex=Binance; type=상장; chain=SOL; premium=nan%; deposit_krw=nan; profit=nan%,,,
FORT,Forta,25년 6월 19일 상장,• 물량 충분한 헷징 불가 바이빗 최고 이더체인 직상장 | • 빗썸 상장에 헷징이 불가능한 생따리는 참여하는 것의 기대값이 | • 물량 무한의 현선갭 심한 바이낸스 최고 이더체인 TGE상장 | • TGE상장임에도 불구하고 당시 상장열기가 최저점 부근이라 입금액도 적고,[25년 하반기 상장복기] | [짚어볼 점],046_Ch 01. 신규 상장 완전 공략법_Part4 (p16-20).txt,Bithumb,TGE,ETH,,,,,,,spot_futures,,,,ex=Bithumb; type=TGE; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
NEWT,Newton Protocol,25년 6월 24일 상장,• 물량 무한의 현선갭 심한 바이낸스 최고 이더체인 TGE상장 | • TGE상장임에도 불구하고 당시 상장열기가 최저점 부근이라 입금액도 적고,[짚어볼 점] | [25년 하반기 상장복기],046_Ch 01. 신규 상장 완전 공략법_Part4 (p16-20).txt,Binance,TGE,ETH,,,,,,,spot_futures,,,,ex=Binance; type=TGE; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
SAHARA,Shara AI,25년 6월 26일 상장,• 바이낸스의 이른 출금개시는 이즈음 선반영되어 차트에 큰 영향이 없음 | • 물량 무한의 현선갭 심한 바이낸스 최고 이더체인 TGE상장 | • 여전히 장세가 안좋으며 망따리 형성,[짚어볼 점] | [25년 하반기 상장복기],046_Ch 01. 신규 상장 완전 공략법_Part4 (p16-20).txt,Binance,TGE,ETH,,,망따리,,,,spot_futures,,,,ex=Binance; type=TGE; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
HYPER,Hyperlane,25년 7월 10일 상장,"• 물량 무한의 현선갭 있는 바이낸스 최고 이더체인 초저시총 옆상장 | • 따리는 망따리, 이후 후펌핑으로 일거래량 2조+",[25년 하반기 상장복기],047_Ch 01. 신규 상장 완전 공략법_Part5 (p21-25).txt,Binance,상장,ETH,,,망따리,,,,spot_futures,,,,ex=Binance; type=상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
ENA,Ethena,25년 7월 11일 상장,• 물량 무한의 현선갭 약한 바이낸스 최고 이더체인 초고시총 직상장 | • 직전 상장인 HYPER의 폭등으로 인해 ENA 따리는 많은 입금액에도 불구,[짚어볼 점] | [25년 하반기 상장복기],047_Ch 01. 신규 상장 완전 공략법_Part5 (p21-25).txt,Binance,직상장,ETH,,,,,,,spot_futures,,,,ex=Binance; type=직상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
ERA,Caldera,25년 7월 17일 상장,"• 안일하게 시총과 따리 난이도로만 판단하여 숏을 접근하는 것은 좋지 않다 | • 후따리 힘든 브릿지 어려운 현선갭 심한 바이낸스 최고 이더체인 TGE상장 | • 오랜만의 대흥따리, 물량 구하기가 쉽지 않았고 거래량은 일주일이 지났음에도",[짚어볼 점] | [25년 하반기 상장복기],047_Ch 01. 신규 상장 완전 공략법_Part5 (p21-25).txt,Binance,TGE,ETH,,,대흥따리,,,,spot_futures,,,,ex=Binance; type=TGE; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
SYRUP,Maple Finace,25년 7월 24일 상장,• 하이퍼레인 브릿지를 통해 BSC 물량을 ETH로 넘겼어야 했는데 | • 물량 무한의 현선갭 있는 바이낸스 최고 이더체인 고시총 직상장 | • 따리 난이도가 쉬웠으나 업비트에 와서 급등 및 김프 그러나 이후로는 우하향 | • 물량 무한의 현선갭 약한 바이낸스 최고 옵티체인 초고시총 직상장 | • SYRUP과 비슷한 결과. 따리 난이도가 매우 쉽고 고시총이라 입금액이 많이,[25년 하반기 상장복기],048_Ch 01. 신규 상장 완전 공략법_Part6 (p26-30).txt,Upbit,직상장,ETH,,,,,,,spot_futures,,,,ex=Upbit; type=직상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
OP,Optimism,25년 7월 28일 상장,• 물량 무한의 현선갭 약한 바이낸스 최고 옵티체인 초고시총 직상장 | • SYRUP과 비슷한 결과. 따리 난이도가 매우 쉽고 고시총이라 입금액이 많이 | • 물량 한정된 후따리 힘든 바이낸스 최고 이더체인 저시총 옆상장 | • 입금액이 적당히 들어오고 거래량도 상응하게 나오면서 급등했다가 이후 하락,[25년 하반기 상장복기] | [25년 하반기 상장복기],048_Ch 01. 신규 상장 완전 공략법_Part6 (p26-30).txt,Binance,직상장,ETH,,,,,,,spot_futures,,,,ex=Binance; type=직상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
OMNI,OmniCat,25년 7월 29일 상장,• 물량 한정된 후따리 힘든 바이낸스 최고 이더체인 저시총 옆상장 | • 입금액이 적당히 들어오고 거래량도 상응하게 나오면서 급등했다가 이후 하락,[25년 하반기 상장복기] | [25년 하반기 상장복기],048_Ch 01. 신규 상장 완전 공략법_Part6 (p26-30).txt,Binance,상장,ETH,,,,,,,,,,,ex=Binance; type=상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
PROVE,Succinct,25년 8월 5일 상장,• 물량 무한의 현선 있는 바이낸스 최고 이더체인 준TGE상장 | • 평이한 입금액에 비해 죽어버린 상장투심으로 망따리 우하향,[25년 하반기 상장복기],049_Ch 01. 신규 상장 완전 공략법_Part7 (p31-35).txt,Binance,TGE,ETH,,,망따리,,,,spot_futures,,,,ex=Binance; type=TGE; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
IP,Story,25년 8월 8일 상장,"• 업비트와 빗썸의 미친듯한 거래시간 선점 신경전 | • 물량 무한의 현선 없는 바이비트 최고 EVM메인넷 초고시총 직상장 | • 따리 난이도가 매우 쉬워 입금액이 많이 들어왔고 상장투심은 여전히 죽은 상태라 | • 물량이 적고 후따리가 힘든, 현선갭 있는 바이비트 최고 이더체인",[짚어볼 점] | [25년 하반기 상장복기],049_Ch 01. 신규 상장 완전 공략법_Part7 (p31-35).txt,Upbit,직상장,ETH,,,,,,,spot_futures,,,,ex=Upbit; type=직상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
CYBER,Cyber,25년 8월 12일 상장,"• 물량이 적고 후따리가 힘든, 현선갭 있는 바이비트 최고 이더체인 | • 거래소 핫월렛 물량이 적어 후따리가 힘든 상황이었지만 기존",[25년 하반기 상장복기],049_Ch 01. 신규 상장 완전 공략법_Part7 (p31-35).txt,,상장,ETH,,,,,,,spot_futures,,,,type=상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
API3,API3,25년 8월 19일 상장,• 물량이 적고 현선갭 있는 바이낸스 최고 이더체인 중저시총 옆상장 | • 거래소 핫월렛 물량이 적은 코인이라 입금액이 적게 들어오고 후따리도,[25년 하반기 상장복기],050_Ch 01. 신규 상장 완전 공략법_Part8 (p36-40).txt,Binance,상장,ETH,,,,,,,spot_futures,,,,ex=Binance; type=상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
TREE,Treehouse,25년 8월 28일 상장,• 시가총액이 낮더라도 흥따리 여부에는 | • 물량 무한인 현선갭 있는 DEX 최고 이더체인 초고시총 TGE상장 | • DEX에 유동성이 매우 많아 입금액이 매우 많이 들어와 망따리 확률이,[25년 하반기 상장복기],050_Ch 01. 신규 상장 완전 공략법_Part8 (p36-40).txt,,TGE,ETH,,,흥따리,,,,spot_futures,,,,type=TGE; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
WLFI,World Liverty Financial,25년 9월 1일 상장,• 물량 무한인 현선갭 있는 DEX 최고 이더체인 초고시총 TGE상장 | • DEX에 유동성이 매우 많아 입금액이 매우 많이 들어와 망따리 확률이,[25년 하반기 상장복기],050_Ch 01. 신규 상장 완전 공략법_Part8 (p36-40).txt,,TGE,ETH,,,망따리,,,,spot_futures,,,,type=TGE; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
RED,RedStone,25년 9월 5일 상장,• 또한 그 외 WLFI는 대형코인이다보니 해외거래소 따리도 먹여줬다. | • 물량 적은 후따리 힘든 현선갭 있는 바이낸스 최고 이더체인 중시총 옆상장 | • 핫월렛 물량이 적었던 코인이라 입금액이 적었고 거래량이 받쳐주면서,[짚어볼 점] | [25년 하반기 상장복기],051_Ch 01. 신규 상장 완전 공략법_Part9 (p41-45).txt,Binance,상장,ETH,,,,,,,spot_futures,,,,ex=Binance; type=상장; chain=ETH; premium=nan%; deposit_krw=nan; profit=nan%,,,
HOLO,Holoworld AI,25년 9월 11일 상장,"• 물량 적은 현선갭 심한 DEX 최고 솔라나체인 TGE상장 | • 거래량은 100억대로 평이한 상황에서, ❶한국인 대상 에어드랍 물량 적음",[25년 하반기 상장복기],051_Ch 01. 신규 상장 완전 공략법_Part9 (p41-45).txt,,TGE,SOL,,,,,,,spot_futures,,,,type=TGE; chain=SOL; premium=nan%; deposit_krw=nan; profit=nan%,,,
MANTA,Manta Network,(date not specified),"? 24? 1? TGE ?? | ? ?? 10??, ?? 5,000? ?? | ? TGE 30? ?? ??, ???? ???? ??? ?? | ? DEX ??? ??? ??",[?? ??????],010_Ch 01. ?? ?? ?? ??.txt,,TGE,,,,,,,,,,,,type=TGE; premium=nan%; deposit_krw=nan; profit=nan%,,,
